Group 0: 3 elements, 225.94 total area
Group 1: 12 elements, 902.38 total area
Group 2: 4 elements, 281.74 total area
Group 3: 2 elements, 145.58 total area
Group 4: 3 elements, 204.38 total area
Group 5: 2 elements, 200.71 total area
Group 6: 4 elements, 301.63 total area
Group 7: 1 elements, 75.69 total area
Group 8: 3 elements, 225.27 total area
Group 9: 2 elements, 151.00 total area
Group 10: 2 elements, 137.79 total area
Group 11: 1 elements, 78.97 total area
Group 12: 2 elements, 169.62 total area
Group 13: 6 elements, 429.77 total area
Group 14: 1 elements, 74.98 total area
Group 15: 4 elements, 308.53 total area
Group 16: 3 elements, 235.61 total area
Group 17: 1 elements, 81.20 total area
Group 18: 6 elements, 464.35 total area
Group 19: 1 elements, 80.30 total area
Group 20: 1 elements, 87.01 total area
Group 21: 2 elements, 146.14 total area
Group 22: 5 elements, 344.11 total area
Group 23: 1 elements, 73.19 total area
Group 24: 12 elements, 821.46 total area
Group 25: 2 elements, 150.65 total area
Group 26: 1 elements, 85.15 total area
Group 27: 3 elements, 203.00 total area
Group 28: 1 elements, 70.19 total area
Group 29: 4 elements, 295.25 total area
Group 30: 3 elements, 243.31 total area
Group 31: 3 elements, 206.49 total area
Group 32: 6 elements, 443.81 total area
Group 33: 1 elements, 64.67 total area
Group 34: 1 elements, 75.38 total area
Group 35: 1 elements, 77.85 total area
Average area: 226.75 total area
