relative_path,predicted_label,repeat,component,error_type,error_message
lines/lines_02.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_02.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_02.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_03.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_03.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_03.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_04.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_04.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_04.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_05.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_05.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_05.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_06.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_06.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_06.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_07.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_07.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_07.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_08.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_08.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_08.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_09.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_09.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_09.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_10.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_10.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_10.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_11.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_11.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_11.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_17.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_17.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_17.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_18.png,mixed,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_18.png,mixed,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_18.png,mixed,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_19.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_19.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_19.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_20.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_20.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
lines/lines_20.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/Mixed_01.png,mixed,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/Mixed_01.png,mixed,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/Mixed_01.png,mixed,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/mixed_05.png,lines,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/mixed_05.png,lines,2,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/mixed_05.png,lines,3,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
mixed/mixed_06.jpeg,mixed,1,colorwheel,TimeoutExpired,Original ColorWheel exceeded 120.0 seconds.
