relative_path,true_label,predicted_label,routing,repeats_expected,successful_repeats,voronoi_median_ms,voronoi_mean_ms,voronoi_sd_ms,colorwheel_analysis_median_ms,colorwheel_analysis_mean_ms,colorwheel_analysis_sd_ms,colorwheel_worker_wall_median_ms,downstream_total_median_ms,downstream_total_mean_ms,downstream_total_sd_ms,status
dots/dot_01.png,dots,dots,voronoi,3,3,14624.23040000067,14606.353466668224,336.51282449705275,,,,,14624.23040000067,14606.353466668224,336.51282449705275,completed
dots/dots_02.png,dots,dots,voronoi,3,3,21230.840800002625,21285.784666667798,273.84296138253177,,,,,21230.840800002625,21285.784666667798,273.84296138253177,completed
dots/dots_03.png,dots,dots,voronoi,3,3,17718.498300000647,17732.45323333443,159.16318518181293,,,,,17718.498300000647,17732.45323333443,159.16318518181293,completed
dots/dots_04.png,dots,dots,voronoi,3,3,11275.133700000879,11369.687500001115,391.7551213758533,,,,,11275.133700000879,11369.687500001115,391.7551213758533,completed
dots/dots_05.png,dots,dots,voronoi,3,3,18664.150399999926,18570.21123333349,479.0485726968888,,,,,18664.150399999926,18570.21123333349,479.0485726968888,completed
dots/dots_06.png,dots,dots,voronoi,3,3,16100.36879999825,16018.593099999029,1523.620837907272,,,,,16100.36879999825,16018.593099999029,1523.620837907272,completed
dots/dots_07.png,dots,dots,voronoi,3,3,15905.90549999979,15948.06703333355,158.52471171377033,,,,,15905.90549999979,15948.06703333355,158.52471171377033,completed
dots/dots_08.png,dots,dots,voronoi,3,3,14843.896500002302,14915.634766666093,255.9200964978802,,,,,14843.896500002302,14915.634766666093,255.9200964978802,completed
dots/dots_09.png,dots,dots,voronoi,3,3,17586.770900001284,17975.839866666018,794.9739800482513,,,,,17586.770900001284,17975.839866666018,794.9739800482513,completed
dots/dots_10.png,dots,dots,voronoi,3,3,13533.964800000831,13831.376033333072,517.8392727889404,,,,,13533.964800000831,13831.376033333072,517.8392727889404,completed
dots/dots_11.png,dots,dots,voronoi,3,3,11441.582899999048,11537.208866667546,300.6807726843803,,,,,11441.582899999048,11537.208866667546,300.6807726843803,completed
dots/dots_13.png,dots,dots,voronoi,3,3,8501.175299999886,8504.243633333923,58.808664362434506,,,,,8501.175299999886,8504.243633333923,58.808664362434506,completed
dots/dots_14.png,dots,dots,voronoi,3,3,8909.494299998187,8843.20306666632,221.91506987264788,,,,,8909.494299998187,8843.20306666632,221.91506987264788,completed
irregular/irregular_01.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
irregular/irregular_02.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
irregular/irregular_03.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
irregular/irregular_04.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
irregular/irregular_05.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
irregular/irregular_07.png,irregular,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
lines/lines_01.png,lines,irregular,none,0,1,,,,,,,,0.0,0.0,0.0,completed_no_downstream
lines/lines_02.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_03.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_04.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_05.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_06.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_07.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_08.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_09.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_10.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_11.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_12.png,lines,lines,colorwheel,3,3,,,,97261.95730000109,97282.63800000057,844.1503662785198,99959.88359999683,97261.95730000109,97282.63800000057,844.1503662785198,completed
lines/lines_13.png,lines,lines,colorwheel,3,3,,,,99323.52190000165,99335.12853333498,418.2098626076131,102295.70550000062,99323.52190000165,99335.12853333498,418.2098626076131,completed
lines/lines_14.png,lines,lines,colorwheel,3,3,,,,100544.83310000069,101658.48206666608,2719.454204786344,103610.59440000099,100544.83310000069,101658.48206666608,2719.454204786344,completed
lines/lines_15.png,lines,lines,colorwheel,3,3,,,,36918.79870000048,36916.831133332984,63.86708476024869,39844.08640000038,36918.79870000048,36916.831133332984,63.86708476024869,completed
lines/lines_16.png,lines,lines,colorwheel,3,3,,,,30140.698999999586,30084.6906333342,284.94543657994365,32970.063700002356,30140.698999999586,30084.6906333342,284.94543657994365,completed
lines/lines_17.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_18.png,lines,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_19.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
lines/lines_20.png,lines,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/Mixed_01.png,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/Mixed_03.png,mixed,mixed,voronoi+colorwheel,3,3,2689.5781999992323,2679.1876333324276,84.39246154521068,22603.355199997168,22723.61749999982,220.19034811620563,25410.940100002335,25361.258899996756,25402.805133332247,148.6721998590383,completed
mixed/Mixed_04.png,mixed,mixed,voronoi+colorwheel,3,3,6431.229899997561,6331.061266667045,419.0700411306852,24918.212899996433,25016.925133333036,274.42807194840157,27641.22100000168,31496.478100001696,31347.98640000008,501.31834327056197,completed
mixed/mixed_05.png,mixed,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_06.jpeg,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_07.png,mixed,lines,colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_08.jpeg,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_09.png,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_10.png,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
mixed/mixed_11.png,mixed,mixed,voronoi+colorwheel,3,0,,,,,,,,,,,incomplete_or_failed
