Image,Class,Threshold,Ground-truth foreground fraction,Predicted foreground fraction,Dice,IoU,Pixel precision,Pixel recall,Specificity,Pixel accuracy,Prediction time (ms),TP pixels,TN pixels,FP pixels,FN pixels
dots/dot_01.png,Dots,0.5,0.21622,0.20975,0.80271,0.67045,0.8151,0.7907,0.95052,0.91596,236.689,127622,556126,28950,33782
dots/dots_02.png,Dots,0.5,0.07501,0.07807,0.83637,0.71876,0.82,0.8534,0.98481,0.97495,264.338,56421,802862,12385,9692
dots/dots_03.png,Dots,0.5,0.19792,0.20351,0.86183,0.75721,0.85,0.874,0.96194,0.94453,224.848,151388,675231,26716,21825
dots/dots_04.png,Dots,0.5,0.31669,0.30867,0.77987,0.63917,0.79,0.77,0.90514,0.86234,200.217,87709,222457,23315,26199
dots/dots_05.png,Dots,0.5,0.16817,0.17016,0.84997,0.73909,0.845,0.855,0.96829,0.94924,188.98,91594,513104,16801,15533
dots/dots_06.png,Dots,0.5,0.21459,0.21711,0.85497,0.74668,0.85,0.86,0.95853,0.93739,203.465,90128,367671,15905,14672
dots/dots_07.png,Dots,0.5,0.28172,0.29228,0.81472,0.68737,0.8,0.83,0.91862,0.89365,196.139,159531,450171,39883,32675
dots/dots_08.png,Dots,0.5,0.32745,0.32596,0.87699,0.78093,0.879,0.875,0.94135,0.91963,210.723,190776,421548,26262,27254
dots/dots_09.png,Dots,0.5,0.1853,0.18182,0.84593,0.73299,0.854,0.838,0.96742,0.94344,196.156,91338,463614,15615,17657
dots/dots_10.png,Dots,0.5,0.21591,0.22296,0.83968,0.72367,0.8264,0.8534,0.95064,0.92964,184.832,96003,388366,20167,16492
dots/dots_11.png,Dots,0.5,0.22124,0.21973,0.87599,0.77934,0.879,0.873,0.96586,0.94532,194.173,91731,357241,12627,13345
dots/dots_13.png,Dots,0.5,0.11098,0.10919,0.86194,0.75738,0.869,0.855,0.98391,0.9696,195.519,28008,258196,4222,4750
dots/dots_14.png,Dots,0.5,0.26043,0.25869,0.83699,0.71967,0.8398,0.8342,0.94396,0.91538,195.026,60552,194582,11551,12035
irregular/irregular_01.png,Irregular,0.5,0.20003,0.19566,0.8594,0.75346,0.869,0.85,0.96796,0.94436,169.923,43271,197066,6523,7636
irregular/irregular_02.png,Irregular,0.5,0.12762,0.1256,0.87693,0.78083,0.884,0.86997,0.9833,0.96884,193.236,7781,60116,1021,1163
irregular/irregular_03.png,Irregular,0.5,0.14679,0.14578,0.85898,0.75282,0.86197,0.85601,0.97642,0.95874,196.894,14101,93489,2258,2372
irregular/irregular_04.png,Irregular,0.5,0.13066,0.13112,0.85452,0.74599,0.85301,0.85604,0.97783,0.96192,183.929,9169,69686,1580,1542
irregular/irregular_05.png,Irregular,0.5,0.15007,0.14834,0.86496,0.76205,0.86998,0.85999,0.97731,0.9597,198.725,17585,113182,2628,2863
irregular/irregular_06.jpeg,Irregular,0.5,0.22122,0.21731,0.84143,0.72627,0.849,0.834,0.95787,0.93046,192.265,290125,1173044,51600,57747
irregular/irregular_07.png,Irregular,0.5,0.59457,0.58396,0.83243,0.71296,0.84,0.825,0.76954,0.80252,198.99,466303,296589,88820,98913
lines/lines_01.png,Lines,0.5,0.21517,0.21195,0.88695,0.79687,0.8937,0.8803,0.97129,0.95171,196.023,117662,473524,13995,15999
lines/lines_02.png,Lines,0.5,0.21452,0.2102,0.87641,0.78001,0.8854,0.8676,0.96933,0.94751,200.423,199477,816063,25819,30441
lines/lines_03.png,Lines,0.5,0.21151,0.20752,0.86202,0.7575,0.8703,0.8539,0.96586,0.94218,194.735,75594,318766,11266,12934
lines/lines_04.png,Lines,0.5,0.13661,0.1367,0.885,0.79372,0.8847,0.8853,0.98174,0.96857,197.059,75157,526743,9795,9737
lines/lines_05.png,Lines,0.5,0.23826,0.23334,0.86191,0.75733,0.871,0.85301,0.96048,0.93488,187.849,60786,218824,9003,10475
lines/lines_06.png,Lines,0.5,0.1896,0.18637,0.87193,0.77295,0.8795,0.8645,0.97229,0.95185,207.073,77583,372955,10630,12160
lines/lines_07.png,Lines,0.5,0.0532,0.05279,0.87799,0.78251,0.8814,0.8746,0.99339,0.98707,194.977,22228,449302,2991,3187
lines/lines_08.png,Lines,0.5,0.19491,0.19363,0.91199,0.83822,0.915,0.909,0.97956,0.96581,195.599,82708,368161,7683,8280
lines/lines_09.png,Lines,0.5,0.1896,0.18806,0.85749,0.75052,0.861,0.854,0.96774,0.94618,188.751,67277,325856,10861,11502
lines/lines_10.png,Lines,0.5,0.18805,0.1847,0.83444,0.71591,0.84201,0.827,0.96406,0.93828,200.759,44495,223952,8349,9308
lines/lines_11.png,Lines,0.5,0.10398,0.10231,0.86494,0.76202,0.87199,0.858,0.98538,0.97214,187.98,32302,319690,4742,5346
lines/lines_12.png,Lines,0.5,0.10693,0.10655,0.8565,0.74902,0.85801,0.85501,0.98306,0.96937,193.346,18593,178553,3077,3153
lines/lines_13.png,Lines,0.5,0.15976,0.15689,0.83248,0.71304,0.8401,0.82501,0.97014,0.94696,189.06,27698,171307,5272,5875
lines/lines_14.png,Lines,0.5,0.0223,0.02212,0.8685,0.76757,0.87199,0.86505,0.9971,0.99416,195.089,4019,203084,590,627
lines/lines_15.png,Lines,0.5,0.09687,0.0945,0.8504,0.73973,0.86105,0.84001,0.98546,0.97137,169.872,6017,65814,971,1146
lines/lines_16.png,Lines,0.5,0.51187,0.50715,0.86198,0.75744,0.86599,0.85801,0.86077,0.85935,196.996,29234,27968,4524,4838
lines/lines_17.png,Lines,0.5,0.0728,0.07213,0.86197,0.75743,0.86599,0.85799,0.98958,0.98,187.138,24124,354358,3733,3993
lines/lines_18.png,Lines,0.5,0.27667,0.27117,0.84541,0.73222,0.85399,0.837,0.94526,0.91531,195.034,68498,202243,11711,13340
lines/lines_19.png,Lines,0.5,0.0911,0.08925,0.8759,0.77919,0.88498,0.86699,0.98871,0.97762,197.903,23460,266916,3049,3599
lines/lines_20.png,Lines,0.5,0.3047,0.29797,0.89489,0.80977,0.905,0.885,0.95929,0.93665,194.3,286085,707609,30031,37175
mixed/Mixed_01.png,Mixed,0.5,0.4655,0.13675,0.37655,0.23194,0.82916,0.24359,0.95629,0.62453,192.826,57198,257842,11785,177619
mixed/Mixed_03.png,Mixed,0.5,0.19625,0.19972,0.79896,0.66523,0.79201,0.80604,0.94832,0.92039,196.411,6778,32660,1780,1631
mixed/Mixed_04.png,Mixed,0.5,0.25485,0.25099,0.85247,0.74287,0.85901,0.84602,0.95251,0.92537,192.684,10626,34980,1744,1934
mixed/mixed_05.png,Mixed,0.5,0.27617,0.2726,0.84546,0.7323,0.851,0.84,0.94389,0.9152,202.783,251878,741808,44101,47977
mixed/mixed_06.jpeg,Mixed,0.5,0.30709,0.3043,0.87698,0.78092,0.881,0.873,0.94774,0.92479,195.636,421577,1032666,56944,61329
mixed/mixed_07.png,Mixed,0.5,0.28251,0.27848,0.83396,0.7152,0.84,0.828,0.9379,0.90685,196.892,253982,730644,48378,52760
mixed/mixed_08.jpeg,Mixed,0.5,0.27106,0.2664,0.86543,0.76279,0.873,0.858,0.95359,0.92768,198.764,182975,546893,26618,30283
mixed/mixed_09.png,Mixed,0.5,0.16467,0.16199,0.85395,0.74512,0.86101,0.847,0.97305,0.95229,200.501,62429,363820,10078,11277
mixed/mixed_10.png,Mixed,0.5,0.14538,0.14296,0.83294,0.71371,0.83999,0.826,0.97323,0.95183,187.854,43252,299575,8239,9111
mixed/mixed_11.png,Mixed,0.5,0.12116,0.11851,0.85939,0.75345,0.869,0.84999,0.98233,0.9663,199.893,56324,472169,8491,9940
